count,start_station_id,start_station_name
15472,3366,West End Ave & W 107 St
15469,3414,Bergen St & Flatbush Ave
15463,3150,E 85 St & York Ave
15404,3539,W 116 St & Amsterdam Ave
15392,3637,Fulton St & Waverly Ave
15373,3378,E 76 St & Park Ave
15312,3064,Myrtle Ave & Lewis Ave
15263,3289,W 90 St & Amsterdam Ave
15229,3576,Park Pl & Vanderbilt Ave
15190,3365,3 St & 7 Ave
15073,313,Washington Ave & Park Ave
15018,3224,W 13 St & Hudson St
15008,3106,Driggs Ave & N Henry St
14942,3420,Douglass St & 3 Ave
14935,3331,Riverside Dr & W 104 St
14867,3328,W 100 St & Manhattan Ave
14858,306,Cliff St & Fulton St_1
14850,3126,44 Dr & Jackson Ave
14841,261,Johnson St & Gold St
14631,3131,E 68 St & 3 Ave
14516,3639,Harborside
14430,493,W 45 St & 6 Ave
14305,3373,3 St & 3 Ave
14304,3663,Sterling Pl & 7 Ave
14300,3558,Bergen St & Vanderbilt Ave
14267,3288,E 88 St & 1 Ave
14265,3370,E 78 St & 2 Ave
14238,3202,Newport PATH
14184,232,Cadman Plaza E & Tillary St
14148,3411,Bond St & Bergen St
14119,3508,St Nicholas Ave & Manhattan Ave
14064,3100,Nassau Ave & Newell St
13980,3077,Stagg St & Union Ave
13931,3497,Pleasant Ave & E 116 St
13895,3489,Gold St & Frankfort St
13836,3648,Flushing Ave & Vanderbilt Ave
13824,3688,2 Ave & E 55 St
13819,3584,Eastern Pkwy & Franklin Ave
13809,3526,31 St & 23 Ave
13790,260,Broad St & Bridge St
13777,3701,Cliff St & Fulton St
13695,3341,Central Park West & W 102 St
13672,322,Clinton St & Tillary St
13661,284,Greenwich Ave & 8 Ave
13618,3518,Lenox Ave & W 126 St
13611,3668,Leonard St & Nassau Ave
13599,3361,Carroll St & 6 Ave
13576,3538,W 110 St & Amsterdam Ave
13533,3335,Union St & 4 Ave
13476,3547,Broadway & Moylan Pl
13473,3400,E 110 St & Madison Ave
13418,3308,Kane St & Clinton St
13407,262,Washington Park
13337,3536,W 116 St & Broadway
13323,3364,Carroll St & 5 Ave
13112,418,Front St & Gold St
13086,3552,W 113 St & Broadway
13077,83,Atlantic Ave & Fort Greene Pl
13014,3298,Warren St & Court St
12952,3434,W 88 St & West End Ave
12911,3294,E 91 St & Park Ave
12875,3369,E 82 St & East End Ave
12855,243,Fulton St & Rockwell Pl
12836,248,Laight St & Hudson St
12801,3117,Franklin St & Dupont St
12787,3176,W 64 St & West End Ave
12749,3398,Smith St & 9 St
12746,3437,Riverside Dr & W 91 St
12366,3359,E 68 St & Madison Ave
12320,3671,E 81 St & 2 Ave
12302,365,Fulton St & Grand Ave
12297,3304,6 Ave & 9 St
12265,3083,Bushwick Ave & Powers St
12233,353,S Portland Ave & Hanson Pl
12223,344,Monroe St & Bedford Ave
12222,3329,Degraw St & Smith St
12212,3300,Prospect Park West & 8 St
12144,3430,Richardson St & N Henry St
12046,3593,31 St & Broadway
11991,3076,Scholes St & Manhattan Ave
11959,242,Carlton Ave & Flushing Ave
11889,3529,Lenox Ave & W 130 St
11865,3284,E 88 St & Park Ave
11842,3407,Union St & Nevins St
11806,3453,Devoe St & Lorimer St
11725,3276,Marin Light Rail
11721,3422,Columbia St & Degraw St
11708,3581,Underhill Ave & Lincoln Pl
11656,3357,W 106 St & Amsterdam Ave
11642,3496,1 Ave & E 110 St
11638,407,Henry St & Poplar St
11609,3419,Douglass St & 4 Ave
11608,3599,Franklin Ave & Empire Blvd
11572,3384,Smith St & 3 St
11566,3080,S 4 St & Rodney St
11557,3125,45 Rd & 11 St
11542,275,Washington Ave & Greene Ave
11541,3296,E 93 St & 2 Ave
11520,2022,E 60 St & York Ave
11518,3377,Carroll St & Bond St
11515,3321,Clinton St & Union St
11462,3375,3 Ave & E 72 St
11400,3415,Prospect Pl & 6 Ave
11261,420,Clermont Ave & Lafayette Ave
11244,3412,Pacific St & Nevins St
11225,3345,Madison Ave & E 99 St
11168,3425,2 Ave & E 104 St
11156,3102,Driggs Ave & Lorimer St
11151,120,Lexington Ave & Classon Ave
11138,3562,Classon Ave & St Marks Ave
11097,3358,Garfield Pl & 8 Ave
11088,3319,14 St & 5 Ave
11056,3396,Clinton St & 4 Place
10967,3081,Graham Ave & Grand St
10938,82,St James Pl & Pearl St
10884,298,3 Ave & Schermerhorn St
10849,3286,E 89 St & 3 Ave
10833,3389,Carroll St & Columbia St
10816,3310,14 St & 7 Ave
10643,3572,34 Ave & 38 St
10640,3180,Brooklyn Bridge Park - Pier 2
10523,3306,10 St & 7 Ave
10502,3413,Wyckoff St & 3 Ave
10454,3152,3 Ave & E 71 St
10440,3388,President St & Henry St
10409,3542,Amsterdam Ave & W 119 St
10395,3410,Dean St & Hoyt St
10353,3690,Park Pl & Church St
10351,3311,Columbia St & Kane St
10291,3549,Grand Ave & Bergen St
10216,3516,31 St & Astoria Blvd
10146,3343,W 107 St & Columbus Ave
10127,3615,44 Dr & 21 St
10110,3537,Carlton Ave & Dean St
10066,3709,W 15 St & 6 Ave
9904,3699,W 50 St & 9 Ave
9904,3555,28 St & 41 Ave
9889,385,E 55 St & 2 Ave
9881,3379,E 103 St & Lexington Ave
9843,3339,Berkeley Pl & 6 Ave
9839,409,DeKalb Ave & Skillman St
9822,3533,St. Nicholas Ave & W 126 St
9794,3580,St Johns Pl & Washington Ave
9791,3231,E 67 St & Park Ave
9772,3403,4 Ave & 9 St
9742,3085,Roebling St & N 4 St
9719,3303,Butler St & Court St
9643,289,Monroe St & Classon Ave
9630,3438,E 76 St & 3 Ave
9624,400,Pitt St & Stanton St
9580,3386,1 Pl & Clinton St
9548,3074,Montrose Ave & Bushwick Ave
9495,3452,Bayard St & Leonard St
9446,3105,N 15 St & Wythe Ave
9354,3571,Bedford Ave & Bergen St
9350,3695,E 5 St & 2 Ave
9249,3544,Underhill Ave & Pacific St
9207,144,Nassau St & Navy St
9200,3454,Leonard St & Maujer St
9192,343,Clinton Ave & Flushing Ave
9182,3290,E 89 St & York Ave
9074,3583,Eastern Pkwy & Washington Ave
9064,3199,Newport Pkwy
9019,396,Lefferts Pl & Franklin Ave
8978,3628,Lenox Ave & W 117 St
8943,3623,W 120 St & Claremont Ave
8927,3666,32 St & 30 Ave
8859,3157,East End Ave & E 86 St
8846,3094,Graham Ave & Withers St
8789,3574,Prospect Pl & Underhill Ave
8789,3404,7 St & 5 Ave
8741,3569,Franklin Ave & St Marks Ave
8626,3613,Center Blvd & 48 Ave
8548,419,Carlton Ave & Park Ave
8538,3211,Newark Ave
8374,3332,Degraw St & Hoyt St
8362,397,Fulton St & Clermont Ave
8331,3592,Crescent St & Broadway
8316,3049,Cambridge Pl & Gates Ave
8292,3267,Morris Canal
8289,3509,Lenox Ave & W 115 St
8269,3297,6 St & 7 Ave
8262,3185,City Hall
8169,216,Columbia Heights & Cranberry St
8168,278,Concord St & Bridge St
8145,3397,Court St & Nelson St
8054,3602,31 Ave & 34 St
8034,3241,Monroe St & Tompkins Ave
8018,421,Clermont Ave & Park Ave
8008,3355,E 66 St & Madison Ave
8006,3187,Warren St
8005,3478,2 Ave & 36 St - Citi Bike HQ at Industry City
8000,245,Myrtle Ave & St Edwards St
7976,3068,Humboldt St & Varet St
7954,3535,Mt Morris Park W & W 120 St
7933,3269,Brunswick & 6th
7916,3067,Broadway & Whipple St
7886,3638,Washington St
7865,3254,Soissons Landing
7841,3510,Adam Clayton Powell Blvd & W 123 St
7840,3182,Yankee Ferry Terminal
7800,3469,India St & West St
7714,3344,Pioneer St & Van Brunt St
7659,3184,Paulus Hook
7640,3579,Sterling Pl & Bedford Ave
7624,3249,Verona Pl & Fulton St
7586,3502,Lexington Ave & E 111 St
7576,3057,Kosciuszko St & Tompkins Ave
7555,436,Hancock St & Bedford Ave
7551,3130,21 St & Queens Plaza North
7538,3705,Thompson St & Bleecker St
7530,3052,Lewis Ave & Madison St
7508,3673,Dean St & Franklin Ave
7448,3611,Vernon Blvd & 47 Rd
7378,3313,6 Ave & 12 St
7364,3153,E 71 St & 2 Ave
7337,3676,Van Brunt St & Van Dyke St
7337,3050,Putnam Ave & Throop Ave
7334,3088,Union Ave & Jackson St
7327,3047,Halsey St & Tompkins Ave
7322,3270,Jersey & 6th St
7235,3363,E 102 St & Park Ave
7214,3272,Jersey & 3rd
7151,3209,Brunswick St
7142,3213,Van Vorst Park
7132,3405,5 St & 6 Ave
7117,3610,Vernon Blvd & 30 Rd
7100,3675,3 Ave & E 95 St
7099,3447,E 71 St & 1 Ave
7056,3192,Liberty Light Rail
6933,3317,10 St & 5 Ave
6905,3275,Columbus Drive
6797,3095,Graham Ave & Herbert St
6773,3338,2 Ave & E 99 St
6745,3144,E 81 St & Park Ave
6730,3042,Fulton St & Utica Ave
6682,3640,Journal Square
6679,3540,Morningside Ave & W 123 St
6677,3278,Monmouth and 6th
6662,3381,3 St & Hoyt St
6621,3324,3 Ave & 14 St
6615,3071,Boerum St & Broadway
6574,3347,Van Brunt St & Wolcott St
6553,3302,Columbus Ave & W 103 St
