count,start_station_id,start_station_name,start_station_longitude,start_station_latitude
4002,3207,Oakland Ave,-74.0524783,40.7376037
4005,3565,36 Ave & 10 St,-73.9411265,40.7614376
4008,3179,Park Ave & Marcus Garvey Blvd,-73.941342,40.698617
4037,3551,3 Ave & E 112 St,-73.941606,40.795508
4044,3210,Pershing Field,-74.051788633,40.742677141
4044,3582,Lincoln Pl & Classon Ave,-73.9609,40.6721683
4080,3527,5 Ave & E 126 St,-73.941747,40.80698
4114,3499,2 Ave & E 122 St,-73.9349,40.8006721
4168,3498,Pleasant Ave & E 120 St,-73.9311847,40.7974772
4173,3606,49 Ave & 21 St,-73.948852,40.74252
4184,3221,47 Ave & 31 St,-73.93561,40.743
4311,3649,W 129 St & Convent Ave,-73.95324736833572,40.814394437915816
4361,3065,Union Ave & Wallabout St,-73.95032283,40.70029511
4384,3563,28 St & 36 Ave,-73.932719,40.757186
4395,3421,Hoyt St & Warren St,-73.98901629,40.6843549
4400,3063,Nostrand Ave & Myrtle Ave,-73.95238108,40.69527008
4417,3500,E 115 St & Madison Ave,-73.944846,40.7989445
4459,3123,31 St & Thomson Ave,-73.93540375,40.74469738
4466,3495,E 114 St & 1 Ave,-73.9362541,40.7945663
4469,3490,E 116 St & 2 Ave,-73.937261,40.796879
4469,3528,Steinway St & 23 Ave,-73.9077436,40.7713937
4475,3154,E 77 St & 3 Ave,-73.95856158,40.77314236
4489,3575,Crescent St & 34 Ave,-73.930562,40.76108
4507,3401,2 Ave & 9 St,-73.99331394,40.6724811
4523,3515,24 Ave & 26 St,-73.918544,40.774591
4527,3530,Crescent St & Ditmars Blvd,-73.9145645,40.7787185
4564,3604,Rogers Ave & Sterling St,-73.9538746,40.6630619
4629,3316,W 104 St & Amsterdam Ave - 1,-73.9662173778,40.7989937
4632,3053,Marcy Ave & Lafayette Ave,-73.947915,40.6900815
4765,3441,10 Hudson Yards,-74.00264,40.752957
4773,3122,48 Ave & 5 St,-73.9558732509613,40.744363287066875
4775,3712,W 35 St & Dyer Ave,-73.99740189313889,40.754691750226016
4798,3622,E 128 St & Madison Ave,-73.939182,40.80756
4853,3501,E 118 St & Madison Ave,-73.9442507,40.8014866
4944,3048,Putnam Ave & Nostrand Ave,-73.94977,40.68402
4960,3560,28 St & 38 Ave,-73.934326,40.754876
4996,3069,Lorimer St & Broadway,-73.94818595,40.70411791
5016,3322,12 St & 4 Ave,-73.9904394,40.668603
5023,3214,Essex Light Rail,-74.0364857,40.7127742
5027,3309,E 97 St & 3 Ave,-73.94860294,40.7859201
5054,3391,E 106 St & 1 Ave,-73.93956237,40.7892529
5126,3681,Grand St,-74.03768330812454,40.71517767732029
5142,3619,Newtown Ave & 23 St,-73.9246145,40.7713615
5195,3183,Exchange Place,-74.0334588,40.7162469
5227,3072,Leonard St & Boerum St,-73.94644578,40.70583339
5250,3091,Frost St & Meeker St,-73.94882,40.71764
5257,3070,McKibbin St & Manhattan Ave,-73.94407279,40.70510918
5294,3046,Marcus Garvey Blvd & Macon St,-73.938037,40.682601
5364,3616,Steinway St & 28 Ave,-73.9136695,40.7656251
5401,3493,E 118 St & 3 Ave,-73.9389152,40.799139
5415,3348,Coffey St & Conover St,-74.015665,40.677236
5424,3617,28 Ave & 35 St,-73.9169858,40.7671
5430,3066,Tompkins Ave & Hopkins St,-73.94708417,40.69957608
5431,3524,19 St & 24 Ave,-73.9225403,40.7774552
5448,3618,27 St & Hunter St,-73.941275,40.7485
5449,3504,E 123 St & Lexington Ave,-73.9379,40.8029263
5464,3060,Willoughby Ave & Tompkins Ave,-73.94626915,40.69425403
5539,3279,Dixon Mills,-74.04996782541275,40.721630142638354
5553,3514,Astoria Park S & Shore Blvd,-73.927631,40.7767
5560,3614,Crescent St & 30 Ave,-73.9249574,40.768692
5585,3205,JC Medical Center,-74.0496379137039,40.71653978099194
5592,3531,Frederick Douglass Blvd & W 129 St,-73.9492286,40.8125511
5613,3588,Vernon Blvd & 10 St,-73.9373554,40.7671863
5683,3511,Adam Clayton Powell Blvd & W 115 St,-73.9532423,40.802535
5703,3595,35 St & Broadway,-73.9222427,40.760339
5737,3643,E 41 St & 5 Ave,-73.98123621940613,40.75272201381188
5739,3653,31 St & 35 Ave,-73.92832159996033,40.75820464696758
5754,373,Willoughby Ave & Walworth St,-73.95381995,40.69331716
5760,3568,34 St & 35 Ave,-73.9262231,40.7569332
5782,3194,McGinley Square,-74.06762212514877,40.7253399253558
5788,3556,24 St & 41 Ave,-73.9397405,40.7527085
5790,3603,31 Ave & 30 St,-73.9240312,40.7647
5806,3494,E 115 St & Lexington Ave,-73.9423,40.797911
5824,3120,Center Blvd & Borden Ave,-73.96044,40.74161
5833,3491,E 118 St & 1 Ave,-73.93504,40.79747
5901,3520,Adam Clayton Powell Blvd & W 118 St,-73.951475,40.804372
5919,3273,Manila & 1st,-74.04288411140442,40.721650724879986
5929,3121,Jackson Ave & 46 Rd,-73.94733276,40.74524768
5943,3056,Kosciuszko St & Nostrand Ave,-73.95133465,40.69072549
5950,3662,31 Ave & Steinway St,-73.916916847229,40.761293897289086
5953,3054,Greene Ave & Throop Ave,-73.942061,40.6894932
